"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A2301","","B1101","","B1106","","C120110","","C210715","","C3101","","C3107","","C3401","","D2201","","H6133","","I5101","","#A03506","","#A05101","","#F01201","","#I0910103",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A2301_住民基本台帳人口（総数）【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C210715_事業所数（小売業）【所】","注釈","C3101_農業産出額【百万円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","H6133_百貨店、総合スーパー数【事業所】","注釈","I5101_病院数【施設】","注釈","#A03506_65歳以上人口割合【％】","注釈","#A05101_人口増減率【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#I0910103_一般病院数（人口10万人当たり）【施設】","注釈"
"2024100000","2024年度","43100","熊本県 熊本市","","***","","731,331","","39,032","","***","","1,157,469,294","","***","","***","","10,700","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43101","熊本県 熊本市 中央区","","***","","176,575","","2,545","","***","","-","","***","","***","","-","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43102","熊本県 熊本市 東区","","***","","191,055","","5,019","","***","","-","","***","","***","","-","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43103","熊本県 熊本市 西区","","***","","90,147","","8,933","","***","","-","","***","","***","","-","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43104","熊本県 熊本市 南区","","***","","133,843","","11,001","","***","","-","","***","","***","","-","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43105","熊本県 熊本市 北区","","***","","139,711","","11,534","","***","","-","","***","","***","","-","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43202","熊本県 八代市","","***","","120,023","","68,130","","***","","148,435,709","","***","","***","","6,860","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43203","熊本県 人吉市","","***","","29,742","","21,055","","***","","35,723,328","","***","","***","","1,390","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43204","熊本県 荒尾市","","***","","49,036","","5,737","","***","","57,515,955","","***","","***","","1,260","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43205","熊本県 水俣市","","***","","21,639","","16,329","","***","","23,664,988","","***","","***","","806","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43206","熊本県 玉名市","","***","","62,582","","15,260","","***","","76,052,193","","***","","***","","6,070","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43208","熊本県 山鹿市","","***","","48,002","","29,969","","***","","52,081,733","","***","","***","","6,680","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43210","熊本県 菊池市","","***","","46,599","","27,685","","***","","52,301,581","","***","","***","","5,780","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43211","熊本県 宇土市","","***","","36,143","","7,430","","***","","44,705,055","","***","","***","","1,750","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43212","熊本県 上天草市","","***","","23,592","","12,667","","***","","25,495,329","","***","","***","","981","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43213","熊本県 宇城市","","***","","56,356","","18,867","","***","","66,168,147","","***","","***","","5,370","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43214","熊本県 阿蘇市","","***","","24,170","","37,630","","***","","27,767,577","","***","","***","","8,450","","***","","***","","***","","***","","***","","***","","***","","***",""
