"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","B1101","","B1106","","C120110","","C3107","","C3401","","D2201","","E2101","","E3101","","H6101","","H6103","","H6104","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","H6101_小売店数（事業所・企業統計調査結果）【事業所】","注釈","H6103_大型小売店数（事業所・企業統計調査結果）【事業所】","注釈","H6104_百貨店、総合スーパー数（事業所・企業統計調査結果）【事業所】","注釈","I5101_病院数【施設】","注釈"
"2024100000","2024年度","43100","熊本県 熊本市","","39,032","","***","","1,157,469,294","","10,700","","***","","***","","93","","53","","***","","***","","***","","***",""
"2024100000","2024年度","43101","熊本県 熊本市 中央区","","2,545","","***","","-","","-","","***","","***","","20","","19","","***","","***","","***","","***",""
"2024100000","2024年度","43102","熊本県 熊本市 東区","","5,019","","***","","-","","-","","***","","***","","18","","10","","***","","***","","***","","***",""
"2024100000","2024年度","43103","熊本県 熊本市 西区","","8,933","","***","","-","","-","","***","","***","","13","","7","","***","","***","","***","","***",""
"2024100000","2024年度","43104","熊本県 熊本市 南区","","11,001","","***","","-","","-","","***","","***","","21","","8","","***","","***","","***","","***",""
"2024100000","2024年度","43105","熊本県 熊本市 北区","","11,534","","***","","-","","-","","***","","***","","21","","9","","***","","***","","***","","***",""
"2024100000","2024年度","43202","熊本県 八代市","","68,130","","***","","148,435,709","","6,860","","***","","***","","24","","16","","***","","***","","***","","***",""
"2024100000","2024年度","43203","熊本県 人吉市","","21,055","","***","","35,723,328","","1,390","","***","","***","","6","","3","","***","","***","","***","","***",""
"2024100000","2024年度","43204","熊本県 荒尾市","","5,737","","***","","57,515,955","","1,260","","***","","***","","10","","3","","***","","***","","***","","***",""
"2024100000","2024年度","43205","熊本県 水俣市","","16,329","","***","","23,664,988","","806","","***","","***","","8","","5","","***","","***","","***","","***",""
"2024100000","2024年度","43206","熊本県 玉名市","","15,260","","***","","76,052,193","","6,070","","***","","***","","15","","7","","***","","***","","***","","***",""
"2024100000","2024年度","43208","熊本県 山鹿市","","29,969","","***","","52,081,733","","6,680","","***","","***","","8","","5","","***","","***","","***","","***",""
"2024100000","2024年度","43210","熊本県 菊池市","","27,685","","***","","52,301,581","","5,780","","***","","***","","10","","5","","***","","***","","***","","***",""
"2024100000","2024年度","43211","熊本県 宇土市","","7,430","","***","","44,705,055","","1,750","","***","","***","","7","","4","","***","","***","","***","","***",""
